,Experiment,Plot,"Tree
 number","Height
a.s.l., m.","Temperature
sum, d.d.","Site index
H100","1=pine
2=spruce
3=birch

Tree
species","Stem
diameter",Height,"Age when tree died

Tree
age","Year
died","1=snag, less than 1/3 of tree height broken
2=snag, more than 1/3 of tree height broken, but standing part higher than 1.3.m


3=log, fallen with roots
4=log, broken below 1.3 m
5=log, man made
6=log, butt or other stem part left during logging


Appearance","when died

Original
stem
volume","Current
stem
volume","Original
wood
density","Current
wood
density","Original
stem
mass","Current
stem
mass","Decay
class",Var.20,cmass/omass,N_vector,E_vector
116,21,8,302,140,1243,21,1,14.6,15.69,81,2002,3,0.13047,0.12947,477.36287202,473.43301925,58.856049547,57.924127488,1,NA,0.984166078658477,61.1075,26.03252
117,30,1,2,140,1115,25.8,1,12,14.74,58,1990,1,0.08409,0.06999,457.71642191,337.43353421,36.372458353,22.318039541,1,NA,0.613597225802011,62.37154,26.8518
118,30,1,15,140,1115,25.8,1,13.65,16.01,58,1990,3,0.116,0.08763,456.11677304,191.23606937,49.999520661,15.836325837,3,NA,0.316729553156546,62.37154,26.8518
119,30,1,69,140,1115,25.8,1,10.7,13.11,50,1982,4,0.06042,0.04597,446.14844883,200.22535835,25.473693368,8.6981199388,3,NA,0.341454998815624,62.37154,26.8518
120,30,1,106,140,1115,25.8,1,11.85,14.02,50,1982,1,0.07811,0.06854,443.17321664,348.61441013,32.712365655,22.579859929,1,NA,0.690254571226607,62.37154,26.8518
121,30,1,109,140,1115,25.8,1,11.35,14.19,58,1990,4,0.07317,0.05177,458.86246188,417.63542902,31.728343187,20.431831922,1,NA,0.643961514207634,62.37154,26.8518
122,30,1,121,140,1115,25.8,1,11.7,13.91,50,1982,4,0.07565,0.06404,443.71268829,187.8116345,31.720687301,11.365946934,3,NA,0.358313387920875,62.37154,26.8518
123,30,1,211,140,1115,25.8,1,18.3,17.92,50,1982,1,0.22967,0.16912,434.45411782,393.59605911,94.293117991,62.903892414,1,NA,0.667110111047595,62.37154,26.8518
124,30,1,253,140,1115,25.8,1,13.75,15.37,50,1982,1,0.11341,0.09388,440.48568094,355.76923077,47.207929616,31.562636538,2,NA,0.668587603708479,62.37154,26.8518
125,30,2,2,140,1115,25.8,1,10.2,14,50,1982,4,0.05927,0.05604,445.51567439,307.04887218,24.95339975,16.260632763,2,NA,0.651639973947839,62.37154,26.8518
126,30,2,7,140,1115,25.8,1,11.1,14.6,50,1982,3,0.07178,0.0626,444.61326741,244.13482047,30.159051616,14.442283574,2,NA,0.478870614298033,62.37154,26.8518
127,30,2,14,140,1115,25.8,1,10.15,14.38,58,1990,2,0.06076,0.05739,459.62808223,430.32786885,26.391017151,21.747605264,1,NA,0.824053318580635,62.37154,26.8518
128,30,2,35,140,1115,25.8,1,9.6,13.56,50,1982,3,0.0517,0.04474,447.23529668,351.13011607,21.850351272,14.845535516,2,NA,0.679418620378141,62.37154,26.8518
129,30,2,44,140,1115,25.8,1,11.35,14.76,50,1982,3,0.07551,0.07475,443.08336849,300.25962787,31.617077771,21.209964788,2,NA,0.670838872005253,62.37154,26.8518
130,30,2,65,140,1115,25.8,1,13.65,16.03,50,1982,3,0.11526,0.09413,440.93246907,329.48362021,48.026673184,29.308507046,2,NA,0.610254783497352,62.37154,26.8518
131,30,2,90,140,1115,25.8,1,10.7,14.34,50,1982,3,0.06604,0.05732,445.33504659,194.05135086,27.79238052,10.511257143,3,NA,0.378206434509483,62.37154,26.8518
132,30,2,99,140,1115,25.8,1,11.65,16.21,70,2002,2,0.0901,0.08634,471.40377879,456.74095725,40.137439043,38.145849829,1,NA,0.950380760170912,62.37154,26.8518
133,30,2,139,140,1115,25.8,1,17.05,19.33,70,2002,1,0.21194,0.21094,464.50581992,460.79444534,93.032758483,91.853981384,1,NA,0.987329440530183,62.37154,26.8518
134,30,2,147,140,1115,25.8,1,12.2,15.88,58,1990,3,0.09275,0.0723,458.0217524,389.05472637,40.145034071,26.581580597,1,NA,0.662138698151013,62.37154,26.8518
135,30,2,157,140,1115,25.8,1,19.45,19.39,58,1990,3,0.27632,0.21536,448.12728211,356.41224332,117.01607141,72.535308981,1,NA,0.619874758287273,62.37154,26.8518
